NUVA,label,comment,abstract,instanceOf
VAC0202,BVAC,Antitoxine  contre le botulisme,False,VAC0909
VAC0203,C.D.T.,"Vaccin pédiatrique diphtérique (anatoxine, dose standard) et tétanique (anatoxine)",False,VAC0137
VAC0204,CAM-KOVAX,Vaccin vivant atténué contre la rougeole (souche Tanabe) 5000 - Labo KMLE Corée du Sud,False,VAC0114
VAC0205,CD.JEVAX,"Vaccin vivant atténué contre l'encéphalite japonaise, préparé sur culture primaire de cellules rénales de hamster (PHK) à partir de la souche SA 14-14-2",False,VAC0146
VAC0206,CELLUVAX,"Vaccin coquelucheux (acellulaire multicomposé, dose standard)",False,VAC1167
VAC0207,CENDEVAX,Vaccin vivant atténué contre la rubéole,False,VAC0113
VAC0208,CERTIVA,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et coquelucheux (acellulaire multicomposé, dose standard)",False,VAC0602
VAC0209,COMVAX,"Vaccin contre l'hépatite B et anti-Haemophilus influenzae type b, polyoside capsulaire (phosphate de polyribosylribitol, PRP) conjugué à la protéine de membrane externe de Neisseria meningitidis sérogroupe B",False,VAC1217
VAC0210,D.S.D.P.T.,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et coquelucheux (entier inactivé)",False,VAC0136
VAC0211,DAPTACEL,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et coquelucheux (acellulaire multicomposé, dose standard)",False,VAC0602
VAC0212,DI TE PER POL IMPFSTOFF,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), coquelucheux (entier inactivé) et poliomyélitique (entier inactivé, trivalent)",False,VAC1151
VAC0213,DI-TE-POL,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et poliomyélitique (entier inactivé, trivalent)",False,VAC0088
VAC0214,DIF-TET-ALL,"Vaccin pédiatrique diphtérique (anatoxine, dose standard) et tétanique (anatoxine)",False,VAC0137
VAC0216,ANATOXAL DI TE,"Vaccin pédiatrique diphtérique (anatoxine, dose standard) et tétanique (anatoxine)",False,VAC0137
