NUVA,label,comment,abstract,instanceOf
VAC0368,RUBELOGEN,Live attenuated rubella vaccine,False,VAC0113
VAC0369,RUBEOVAX,Live attenuated measles vaccine,False,VAC0114
VAC0370,RVA RABIES VACCINE ABSORBED BIOPORT,"Whole virion inactivated rabies vaccine, adsorbed on aluminium phosphate from BioPort laboratory",False,VAC0131
VAC0371,SABIN,"Polio vaccine (live attenuated, trivalent) against polioviruses 1, 2 and 3, oral",False,VAC0320
VAC0372,SAHIA,"Polio vaccine (live attenuated, trivalent) against polioviruses 1, 2 and 3, oral",False,VAC0320
VAC0373,SALK,Inactivated polio (trivalent) vaccine,False,VAC0270
VAC0374,SANDOVAC,Trivalent inactivated seasonal influenza vaccine,False,VAC0925
VAC0375,SEROBACTERIN,Inactivated whole-cell cholera vaccine for injection combined with polysaccharide typhoid vaccine,False,VAC1179
VAC0376,SHANCOL,Oral Inactivated whole-cell cholera vaccine,False,VAC1257
VAC0377,TRIPLE ANTIGEN SII,"Paediatric diphtheria vaccine (toxoid, standard dose), tetanus vaccine (toxoid) and pertussis vaccine (whole inactivated)",False,VAC0136
VAC0378,SYNAGIS 100 mg (PALIZIVUMAB),hRSV monoclonal antibody,False,VAC1222
VAC0379,T-IMMUN,Tetanus toxoid vaccine,False,VAC0132
VAC0380,"T.Polio, unspecified",Toksoid tężcowy i inaktywowana szczepionka przeciwko polio (trójwalentna),True,
VAC0382,"Tetanus diphtheria vaccine, unspecified",Szczepionka zawierająca toksoid błoniczy (dawka nieokreślona) i toksoid tężcowy,True,
VAC0383,ANATOXAL TE,Tetanus toxoid vaccine,False,VAC0132
VAC0384,TE/VAC/PTAP,Tetanus toxoid vaccine (Yugoslavia),False,VAC0132
VAC0385,TELVACLPTAP,Tetanus toxoid vaccine,False,VAC0132
VAC0386,TETAMYN,Tetanus toxoid vaccine,False,VAC0132
VAC0387,TETANOL,Tetanus toxoid vaccine,False,VAC0132
VAC0388,TETASORBAT SSW,Tetanus toxoid vaccine,False,VAC0132
VAC0389,TETAMUN SSW,Tetanus toxoid vaccine,False,VAC0132
VAC0390,TETRACT-HIB,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated) et Haemophilus influenzae type b (conjugated to tetanus toxoid) pediatric vaccine",False,VAC1161
VAC0391,TETRAMUNE,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated) and Haemophilus influenzae type b (conjugated to diphtheria toxoid) pediatric vaccine",False,VAC1168
VAC0392,TETRAVAX,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated) and inactivated polio (trivalent) pediatric vaccine",False,VAC1151
VAC0393,TICE BCG,Tuberculosis vaccine,False,VAC0134
VAC0394,TIG,Anti-tetanus immunoglobulin,False,VAC0497
VAC0395,TITIFICA,"Typhoid and paratyphoid A and B vaccine, whole-cell inactivated",False,VAC0818
VAC0396,BIOPOLIO,"Polio vaccine (live attenuated, trivalent) against polioviruses 1, 2 and 3, oral",False,VAC0320
VAC0397,TRESIVAC LYOPHOLIZED,"Live attenuated measles, mumps and rubella vaccine",False,VAC0130
VAC0398,TRI-IMMUNOL,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False,VAC0136
VAC0399,TRIACEL,"Diphtheria toxoid (standard dose), tetanus toxoid and inactivated polio (trivalent) pediatric vaccine",False,VAC0088
