SNOMED-CT,NUVA,SNOMED-CT label, NUVA label
SNOMED-CT-2081000221102,VAC0596,"Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae toxoids and Haemophilus influenzae type b capsular polysaccharide conjugated and Hepatitis B virus surface antigens only pediatric vaccine","DTaPHibHepB pentavalent vaccine, unspecified"
SNOMED-CT-2091000221104,VAC0506,"Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and Human poliovirus antigens only paediatric vaccine product","Pentavalent DTaPHibIPV vaccine, unspecified"
SNOMED-CT-2101000221107,VAC0552,"Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and Hepatitis B virus and Human poliovirus antigens only pediatric vaccine product","Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified"
SNOMED-CT-2171000221104,VAC0713,"Salmonella enterica subspecies enterica serovar Typhi capsular polysaccharide unconjugated antigen only vaccine product in parenteral dose form","Typhoid polysaccharide vaccine, unspecified"
SNOMED-CT-2181000221101,VAC0944,"Vibrio cholerae antigen only vaccine product in oral dose form","Cholera inactivated whole virion oral vaccine, unspecified"
SNOMED-CT-2191000221103,VAC1435,"Inactivated whole Rabies lyssavirus antigen grown in cellular line only vaccine product","Rabies vaccine, inactivated, whole virion, cell culture-based, unspecified"
SNOMED-CT-2201000221100,VAC1436,"Inactivated whole Rabies lyssavirus antigen grown in brain tissue only vaccine product","Rabies vaccine, inactivated, whole virion, prepared from animal brain tissue infected with rabies virus, unspecified"
SNOMED-CT-2211000221102,#MISS,"Influenza A virus subtypes H1N1 and H3N2 and influenza B virus Victoria lineage antigens only vaccine product",
SNOMED-CT-2221000221107,VAC0159,"Live attenuated Human alphaherpesvirus 3 only vaccine product","Chickenpox vaccine, unspecified"
SNOMED-CT-2231000221105,VAC0550,"Live attenuated Measles morbillivirus and Rubella virus antigens only vaccine product","Measles and rubella live attenuated vaccine, unspecified"
SNOMED-CT-2241000221103,VAC0130,"Live attenuated Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens only vaccine product","MMR Measles-Mumps-Rubella Vaccine, live attenuated, unspecified"
SNOMED-CT-2251000221101,VAC0827,"Live attenuated Measles morbillivirus and Mumps orthorubulavirus and Rubella virus and Human alphaherpesvirus 3 antigens only vaccine product","Measles, mumps, rubella and varicella (MMRV) live attenuated vaccine, unspecified"
SNOMED-CT-2261000221104,#MISS,"Influenza A virus subtypes H1N1 and H3N2 and Influenza B virus Victoria and Yamagata lineage antigens only vaccine product",
SNOMED-CT-28531000087107,VAC0648,"COVID-19 vaccine","COVID-19 vaccine, unspecified"
SNOMED-CT-29061000087103,VAC1143,"COVID-19 non-replicating viral vector vaccine","COVID-19 vaccine with non-replicating viral vector, adenovirus encoding the spike protein of SARS-CoV-2, unspecified"
SNOMED-CT-30041000234101,#MISS,"Influenza A virus subtype H5N8 antigen only vaccine product",
