CTI-EXTEND,NUVA,CTI-EXTEND label, NUVA label
CTI-EXTEND-666445-01,#MISS,"Spikevax XFG 25 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-666446-01,#MISS,"Spikevax XFG 25 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-666447-01,#MISS,"Spikevax XFG 25 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-666448-01,#MISS,"Spikevax XFG 25 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-593884-01,VAC0667,"Nuvaxovid disp. inj. i.m. flac.","NUVAXOVID"
CTI-EXTEND-661244-01,VAC0667,"Nuvaxovid disp. inj. i.m. flac.","NUVAXOVID"
CTI-EXTEND-661582-01,VAC0667,"Nuvaxovid disp. inj. i.m. flac.","NUVAXOVID"
CTI-EXTEND-661583-01,VAC0667,"Nuvaxovid disp. inj. i.m. flac.","NUVAXOVID"
CTI-EXTEND-661366-01,VAC0913,"Bimervax émuls. inj. i.m. flac.","BIMERVAX"
CTI-EXTEND-661936-01,VAC1055,"Nuvaxovid XBB.1.5 disp. inj. i.m. flac.","NUVAXOVID XBB.1.5"
CTI-EXTEND-661937-01,VAC1055,"Nuvaxovid XBB.1.5 disp. inj. i.m. flac.","NUVAXOVID XBB.1.5"
CTI-EXTEND-662475-01,VAC0913,"Bimervax émuls. inj. i.m. flac.","BIMERVAX"
CTI-EXTEND-662476-01,VAC0913,"Bimervax émuls. inj. i.m. flac.","BIMERVAX"
CTI-EXTEND-662477-01,VAC0913,"Bimervax émuls. inj. i.m. flac.","BIMERVAX"
CTI-EXTEND-663318-01,VAC1055,"Nuvaxovid XBB.1.5 disp. inj. i.m. flac.","NUVAXOVID XBB.1.5"
CTI-EXTEND-663319-01,VAC1055,"Nuvaxovid XBB.1.5 disp. inj. i.m. flac.","NUVAXOVID XBB.1.5"
CTI-EXTEND-663772-01,VAC1261,"Nuvaxovid JN.1 disp. inj. i.m. flac.","NUVAXOVID JN.1"
CTI-EXTEND-663773-01,VAC1261,"Nuvaxovid JN.1 disp. inj. i.m. flac.","NUVAXOVID JN.1"
